facturacion_anual,fortaleza_tecnologica,experiencia_requerida,lugar_trabajo,precio_hora,duracion,presupuesto,numero_perfiles_requeridos,volumetria,exito,prob_exito
250k a 1M,Experto,Específica,Presencial,Dentro del mercado,31,146808,6,716,1,77
250k a 1M,Intermedio,Sin Experiencia,Híbrido,Dentro del mercado,6,425854,11,943,0,7
Más de 1M,Básico,Específica,Remoto,Por encima del mercado,27,119091,17,633,1,93
Menos de 250k,Intermedio,Sin Experiencia,Presencial,Por debajo del mercado,8,327997,1,112,1,59
250k a 1M,Básico,Sin Experiencia,Remoto,Por encima del mercado,20,350075,6,254,1,14
250k a 1M,Experto,Sin Experiencia,Híbrido,Dentro del mercado,15,309084,6,368,0,66
Más de 1M,Intermedio,General,Híbrido,Dentro del mercado,21,458022,12,445,1,24
Menos de 250k,Intermedio,General,Remoto,Por debajo del mercado,20,175748,13,430,0,4
250k a 1M,Intermedio,Específica,Híbrido,Dentro del mercado,7,74264,12,414,1,9
Más de 1M,Experto,Sin Experiencia,Híbrido,Por debajo del mercado,11,399755,5,701,1,85
250k a 1M,Experto,General,Híbrido,Por encima del mercado,8,271066,9,771,0,53
Menos de 250k,Básico,Sin Experiencia,Remoto,Por debajo del mercado,14,66972,7,132,0,87
250k a 1M,Intermedio,General,Híbrido,Dentro del mercado,2,389430,20,253,1,41
250k a 1M,Básico,Sin Experiencia,Híbrido,Por debajo del mercado,3,485226,13,707,0,59
Más de 1M,Básico,Sin Experiencia,Presencial,Por debajo del mercado,9,392291,1,270,1,37
250k a 1M,Experto,Sin Experiencia,Presencial,Dentro del mercado,9,434953,1,833,1,98
Menos de 250k,Básico,General,Remoto,Dentro del mercado,2,416936,11,424,0,65
Más de 1M,Básico,Sin Experiencia,Híbrido,Por encima del mercado,22,64073,3,479,1,9
250k a 1M,Experto,Sin Experiencia,Presencial,Dentro del mercado,35,394019,6,370,0,45
250k a 1M,Intermedio,General,Híbrido,Por encima del mercado,2,150198,15,454,0,58
Más de 1M,Experto,General,Presencial,Dentro del mercado,13,197937,3,253,0,36
Más de 1M,Básico,Sin Experiencia,Remoto,Por debajo del mercado,5,432221,2,910,1,24
250k a 1M,Experto,Sin Experiencia,Presencial,Por encima del mercado,7,161011,12,387,0,7
Más de 1M,Experto,General,Remoto,Dentro del mercado,26,117536,15,123,1,23
Más de 1M,Intermedio,General,Híbrido,Dentro del mercado,2,16718,13,994,1,25
Menos de 250k,Intermedio,General,Remoto,Dentro del mercado,1,354441,13,44,0,80
Menos de 250k,Experto,Sin Experiencia,Presencial,Por encima del mercado,2,299797,7,279,0,15
250k a 1M,Experto,Específica,Híbrido,Por debajo del mercado,3,11099,17,129,0,66
Más de 1M,Experto,Específica,Presencial,Por encima del mercado,29,209981,3,463,0,28
Menos de 250k,Intermedio,Específica,Híbrido,Por encima del mercado,11,43521,6,107,0,86
250k a 1M,Intermedio,Específica,Presencial,Dentro del mercado,31,78671,19,151,1,47
Más de 1M,Básico,Sin Experiencia,Remoto,Dentro del mercado,19,458925,10,887,1,53
Más de 1M,Básico,General,Remoto,Por encima del mercado,21,330517,8,52,0,91
Menos de 250k,Experto,Sin Experiencia,Híbrido,Por debajo del mercado,34,308721,2,119,1,62
250k a 1M,Básico,Sin Experiencia,Remoto,Dentro del mercado,2,482488,12,299,1,99
250k a 1M,Básico,Sin Experiencia,Presencial,Por debajo del mercado,12,291242,12,107,1,88
Menos de 250k,Básico,Específica,Remoto,Dentro del mercado,32,296639,15,780,1,6
Menos de 250k,Intermedio,General,Presencial,Dentro del mercado,6,182490,18,136,1,37
Menos de 250k,Experto,Específica,Remoto,Por debajo del mercado,7,233546,6,405,0,44
250k a 1M,Básico,Sin Experiencia,Remoto,Por debajo del mercado,20,188983,20,718,1,53
Menos de 250k,Intermedio,Sin Experiencia,Híbrido,Dentro del mercado,3,301591,8,208,0,53
Más de 1M,Experto,Específica,Híbrido,Por encima del mercado,32,205686,2,428,0,12
250k a 1M,Experto,Específica,Híbrido,Dentro del mercado,6,408718,11,376,0,17
250k a 1M,Intermedio,Específica,Presencial,Dentro del mercado,1,184641,10,868,1,61
Menos de 250k,Experto,General,Híbrido,Dentro del mercado,1,431461,12,219,1,11
250k a 1M,Intermedio,Sin Experiencia,Presencial,Dentro del mercado,23,281258,11,37,0,38
250k a 1M,Experto,General,Híbrido,Por encima del mercado,26,67485,10,604,1,84
250k a 1M,Intermedio,Específica,Híbrido,Por encima del mercado,31,228319,5,154,1,21
250k a 1M,Básico,General,Presencial,Dentro del mercado,27,482413,15,906,1,75
250k a 1M,Intermedio,Sin Experiencia,Híbrido,Por debajo del mercado,8,190549,13,901,1,0
Menos de 250k,Básico,General,Híbrido,Dentro del mercado,14,9027,14,588,1,68
Más de 1M,Experto,Sin Experiencia,Presencial,Por encima del mercado,25,344985,16,386,1,50
Menos de 250k,Básico,Específica,Híbrido,Por encima del mercado,9,488174,13,304,0,34
250k a 1M,Experto,General,Presencial,Por encima del mercado,10,64621,6,640,1,38
250k a 1M,Intermedio,Específica,Presencial,Dentro del mercado,32,163846,19,248,0,12
250k a 1M,Experto,General,Presencial,Por debajo del mercado,3,177627,14,299,0,21
Más de 1M,Intermedio,Sin Experiencia,Híbrido,Dentro del mercado,27,7470,18,840,0,91
Más de 1M,Intermedio,Específica,Híbrido,Por debajo del mercado,25,66334,13,17,0,47
250k a 1M,Intermedio,Específica,Presencial,Dentro del mercado,29,368238,3,319,1,91
250k a 1M,Experto,Sin Experiencia,Presencial,Por encima del mercado,11,301213,14,907,0,62
Más de 1M,Experto,Específica,Remoto,Por debajo del mercado,36,226276,19,966,0,45
Más de 1M,Experto,General,Remoto,Dentro del mercado,16,74688,6,952,1,95
Más de 1M,Experto,General,Presencial,Por debajo del mercado,7,113460,17,76,1,29
Menos de 250k,Experto,Sin Experiencia,Presencial,Por debajo del mercado,21,362128,13,906,0,5
Menos de 250k,Experto,General,Híbrido,Por debajo del mercado,1,72879,4,205,1,15
Más de 1M,Experto,Específica,Presencial,Dentro del mercado,36,447256,10,559,1,85
Menos de 250k,Experto,Específica,Híbrido,Por debajo del mercado,2,58870,11,918,1,7
Menos de 250k,Intermedio,Específica,Presencial,Por encima del mercado,5,226347,17,349,0,14
250k a 1M,Intermedio,Sin Experiencia,Híbrido,Dentro del mercado,5,327547,2,170,1,0
Más de 1M,Experto,Sin Experiencia,Híbrido,Por debajo del mercado,12,243259,2,269,0,81
250k a 1M,Experto,General,Remoto,Dentro del mercado,4,308911,14,731,1,9
Más de 1M,Experto,General,Presencial,Dentro del mercado,6,155250,6,358,1,42
Más de 1M,Experto,Específica,Remoto,Por encima del mercado,28,301300,7,616,1,90
Menos de 250k,Experto,Específica,Presencial,Dentro del mercado,32,417747,17,813,0,18
Más de 1M,Intermedio,Sin Experiencia,Híbrido,Dentro del mercado,5,439085,5,797,1,40
Menos de 250k,Experto,Sin Experiencia,Presencial,Dentro del mercado,8,129587,17,908,0,32
Más de 1M,Intermedio,General,Híbrido,Dentro del mercado,15,346135,14,256,0,79
Menos de 250k,Básico,General,Híbrido,Por debajo del mercado,24,227761,14,171,0,17
250k a 1M,Experto,General,Híbrido,Dentro del mercado,2,376279,10,593,1,51
Menos de 250k,Básico,General,Híbrido,Por debajo del mercado,31,239423,14,919,0,66
Menos de 250k,Básico,Específica,Híbrido,Por encima del mercado,19,377123,8,989,1,91
Menos de 250k,Experto,Específica,Presencial,Por encima del mercado,11,218602,3,568,0,84
250k a 1M,Experto,Sin Experiencia,Remoto,Por encima del mercado,18,299272,20,323,0,31
Menos de 250k,Intermedio,Sin Experiencia,Presencial,Dentro del mercado,26,228554,9,242,1,64
Menos de 250k,Básico,Específica,Remoto,Dentro del mercado,27,54387,12,355,0,71
Más de 1M,Intermedio,General,Presencial,Por encima del mercado,32,107686,19,838,0,41
Menos de 250k,Básico,Específica,Remoto,Por debajo del mercado,36,356128,13,215,1,97
250k a 1M,Básico,Sin Experiencia,Remoto,Por debajo del mercado,12,40254,6,812,0,4
Menos de 250k,Intermedio,General,Híbrido,Por debajo del mercado,5,80045,10,531,0,99
Menos de 250k,Experto,Específica,Presencial,Dentro del mercado,15,198803,17,527,0,70
Menos de 250k,Intermedio,Sin Experiencia,Híbrido,Por encima del mercado,24,457281,14,909,1,32
Más de 1M,Experto,Específica,Híbrido,Dentro del mercado,16,16330,8,160,0,9
Más de 1M,Experto,Sin Experiencia,Presencial,Por encima del mercado,11,418764,7,963,1,70
250k a 1M,Básico,Específica,Remoto,Dentro del mercado,6,383257,19,956,0,99
Menos de 250k,Experto,Específica,Híbrido,Por encima del mercado,24,271895,4,937,1,55
250k a 1M,Intermedio,Específica,Híbrido,Por debajo del mercado,9,412528,7,732,1,18
Más de 1M,Experto,Específica,Presencial,Por debajo del mercado,27,219180,1,765,1,82
250k a 1M,Intermedio,General,Híbrido,Por debajo del mercado,1,158545,17,891,1,35
Más de 1M,Experto,Sin Experiencia,Presencial,Por encima del mercado,4,126232,19,725,0,64
Más de 1M,Básico,General,Híbrido,Por debajo del mercado,35,284141,3,385,1,42
Menos de 250k,Intermedio,Específica,Remoto,Por encima del mercado,12,99466,14,273,0,98
250k a 1M,Intermedio,Específica,Híbrido,Por debajo del mercado,9,11206,11,745,0,80
Más de 1M,Experto,General,Presencial,Dentro del mercado,36,297919,9,439,1,19
250k a 1M,Básico,Específica,Presencial,Por encima del mercado,5,385486,18,229,0,53
250k a 1M,Intermedio,General,Remoto,Por debajo del mercado,23,198459,12,120,0,44
250k a 1M,Experto,Sin Experiencia,Presencial,Por debajo del mercado,17,70612,12,55,1,23
Menos de 250k,Experto,General,Presencial,Dentro del mercado,7,493081,13,785,0,8
Menos de 250k,Básico,Específica,Presencial,Por encima del mercado,9,350402,11,57,1,65
Más de 1M,Intermedio,Sin Experiencia,Remoto,Dentro del mercado,31,210732,9,226,0,10
Menos de 250k,Básico,Sin Experiencia,Híbrido,Por encima del mercado,21,408785,2,44,0,47
250k a 1M,Básico,General,Remoto,Por debajo del mercado,20,146283,7,983,0,13
Menos de 250k,Experto,Sin Experiencia,Remoto,Por encima del mercado,21,344826,18,392,0,37
Menos de 250k,Básico,General,Presencial,Dentro del mercado,15,386157,4,697,1,30
Más de 1M,Experto,Sin Experiencia,Remoto,Por debajo del mercado,29,135903,14,473,0,62
Menos de 250k,Básico,Sin Experiencia,Presencial,Por encima del mercado,27,383121,12,44,0,18
Menos de 250k,Básico,Sin Experiencia,Híbrido,Dentro del mercado,32,194468,7,509,0,63
Menos de 250k,Intermedio,Específica,Híbrido,Por encima del mercado,24,226519,1,449,1,88
250k a 1M,Experto,General,Presencial,Dentro del mercado,20,84477,2,474,0,1
Más de 1M,Experto,Sin Experiencia,Híbrido,Dentro del mercado,1,19395,19,266,0,14
250k a 1M,Básico,General,Remoto,Por encima del mercado,31,61709,19,566,0,59
Más de 1M,Experto,General,Remoto,Por debajo del mercado,31,246766,8,864,1,79
250k a 1M,Básico,General,Remoto,Dentro del mercado,17,322933,8,365,1,17
250k a 1M,Intermedio,Específica,Híbrido,Dentro del mercado,5,226729,11,450,0,12
Menos de 250k,Básico,Específica,Híbrido,Por encima del mercado,8,89437,5,980,0,92
Menos de 250k,Básico,General,Presencial,Dentro del mercado,7,162299,13,888,1,85
Menos de 250k,Intermedio,General,Presencial,Por encima del mercado,13,136265,12,696,0,76
Más de 1M,Básico,Sin Experiencia,Presencial,Por debajo del mercado,27,51724,9,567,1,100
Menos de 250k,Intermedio,Sin Experiencia,Híbrido,Por encima del mercado,32,157707,19,321,0,45
Menos de 250k,Básico,Sin Experiencia,Híbrido,Por encima del mercado,28,263961,6,592,0,0
Más de 1M,Experto,General,Presencial,Por debajo del mercado,6,226671,2,640,0,98
Menos de 250k,Básico,General,Presencial,Por debajo del mercado,17,242975,9,402,1,47
Menos de 250k,Experto,Específica,Presencial,Por debajo del mercado,35,387700,14,552,1,39
Más de 1M,Básico,Sin Experiencia,Remoto,Dentro del mercado,27,176005,8,721,1,39
250k a 1M,Intermedio,Específica,Remoto,Por encima del mercado,3,385049,4,43,1,7
250k a 1M,Intermedio,Específica,Remoto,Por debajo del mercado,35,158147,5,186,1,8
250k a 1M,Experto,General,Remoto,Por debajo del mercado,7,174375,7,628,0,86
250k a 1M,Intermedio,Específica,Híbrido,Por debajo del mercado,22,448304,15,678,0,9
Más de 1M,Básico,Específica,Híbrido,Dentro del mercado,11,351602,10,361,1,29
250k a 1M,Intermedio,General,Presencial,Dentro del mercado,14,109300,11,394,1,16
Menos de 250k,Experto,Específica,Presencial,Por debajo del mercado,16,51622,5,174,1,20
250k a 1M,Intermedio,Específica,Remoto,Por debajo del mercado,12,302692,15,209,0,3
Más de 1M,Básico,Específica,Presencial,Dentro del mercado,33,221404,3,567,0,91
Menos de 250k,Intermedio,Sin Experiencia,Remoto,Por debajo del mercado,22,286485,16,630,1,80
Menos de 250k,Experto,Específica,Híbrido,Por debajo del mercado,26,263597,3,361,0,48
Más de 1M,Básico,Sin Experiencia,Presencial,Dentro del mercado,19,483521,5,69,1,11
250k a 1M,Intermedio,Específica,Remoto,Por encima del mercado,20,76848,3,358,1,70
250k a 1M,Experto,Específica,Presencial,Dentro del mercado,17,267204,17,151,1,62
Más de 1M,Básico,Sin Experiencia,Híbrido,Por debajo del mercado,31,314743,10,137,0,36
250k a 1M,Intermedio,General,Presencial,Por debajo del mercado,26,268275,11,802,0,92
Más de 1M,Básico,Específica,Remoto,Dentro del mercado,23,43575,1,788,1,37
Más de 1M,Intermedio,Sin Experiencia,Presencial,Dentro del mercado,25,271296,8,855,0,42
Más de 1M,Experto,General,Presencial,Por encima del mercado,14,94762,13,429,0,0
Menos de 250k,Básico,General,Híbrido,Por debajo del mercado,9,282106,4,481,1,70
Menos de 250k,Experto,Específica,Remoto,Dentro del mercado,27,375188,2,642,1,29
Más de 1M,Intermedio,General,Remoto,Por encima del mercado,19,231917,18,771,1,68
250k a 1M,Básico,Específica,Remoto,Por encima del mercado,6,157445,6,194,1,68
Menos de 250k,Intermedio,Sin Experiencia,Híbrido,Por debajo del mercado,22,124967,8,653,0,75
250k a 1M,Básico,Sin Experiencia,Remoto,Por debajo del mercado,31,12585,10,987,0,72
Menos de 250k,Básico,Específica,Presencial,Por debajo del mercado,4,465357,2,506,1,91
Menos de 250k,Experto,Sin Experiencia,Híbrido,Por debajo del mercado,4,499097,10,466,1,41
250k a 1M,Básico,General,Híbrido,Por encima del mercado,27,34155,1,926,0,12
Más de 1M,Intermedio,Específica,Remoto,Por debajo del mercado,13,224897,8,738,0,40
Menos de 250k,Intermedio,General,Híbrido,Dentro del mercado,34,115652,8,89,1,19
Más de 1M,Básico,Específica,Remoto,Por debajo del mercado,29,75198,17,191,0,99
Más de 1M,Intermedio,General,Híbrido,Por debajo del mercado,23,381857,14,578,0,96
Menos de 250k,Básico,General,Presencial,Dentro del mercado,29,320972,4,16,0,48
250k a 1M,Intermedio,General,Presencial,Por encima del mercado,6,359419,8,930,0,48
Menos de 250k,Intermedio,Específica,Remoto,Dentro del mercado,13,361998,13,707,0,97
Menos de 250k,Intermedio,Sin Experiencia,Híbrido,Por debajo del mercado,2,124479,16,152,0,2
Más de 1M,Intermedio,General,Híbrido,Por encima del mercado,23,464379,11,732,0,63
Más de 1M,Experto,Específica,Híbrido,Por encima del mercado,6,146202,15,722,0,32
250k a 1M,Básico,Específica,Presencial,Dentro del mercado,27,80732,17,872,1,74
Menos de 250k,Básico,Sin Experiencia,Híbrido,Por encima del mercado,15,188219,13,266,1,32
Más de 1M,Experto,Específica,Híbrido,Por encima del mercado,13,416116,15,79,0,86
Más de 1M,Experto,Sin Experiencia,Presencial,Por encima del mercado,23,298509,8,376,0,35
Menos de 250k,Básico,Específica,Híbrido,Por debajo del mercado,36,49976,14,553,1,86
Más de 1M,Básico,Sin Experiencia,Híbrido,Por encima del mercado,8,460540,12,591,1,69
250k a 1M,Intermedio,Específica,Presencial,Dentro del mercado,12,108524,9,926,0,85
250k a 1M,Intermedio,Específica,Remoto,Dentro del mercado,33,218868,14,842,0,83
Más de 1M,Experto,General,Remoto,Por debajo del mercado,12,257285,16,951,0,38
250k a 1M,Básico,General,Presencial,Por encima del mercado,27,201258,3,753,1,58
Menos de 250k,Intermedio,General,Remoto,Por debajo del mercado,32,96059,6,44,0,21
Menos de 250k,Experto,General,Presencial,Por debajo del mercado,31,53133,3,678,0,70
Más de 1M,Experto,General,Presencial,Dentro del mercado,7,101680,8,93,1,42
Menos de 250k,Intermedio,General,Híbrido,Por debajo del mercado,1,357883,18,985,0,70
Menos de 250k,Intermedio,Sin Experiencia,Híbrido,Dentro del mercado,36,153290,20,607,1,80
250k a 1M,Experto,General,Remoto,Por encima del mercado,33,50399,17,114,1,9
Menos de 250k,Experto,Sin Experiencia,Remoto,Por encima del mercado,4,10366,7,83,1,35
Menos de 250k,Intermedio,Específica,Remoto,Por debajo del mercado,3,478462,1,331,0,75
250k a 1M,Experto,General,Híbrido,Por debajo del mercado,30,40334,6,903,1,6
Más de 1M,Experto,Específica,Remoto,Dentro del mercado,3,13700,20,496,0,66
Menos de 250k,Experto,Específica,Remoto,Por debajo del mercado,11,12551,20,808,1,55
250k a 1M,Intermedio,Sin Experiencia,Híbrido,Por encima del mercado,11,101255,9,965,0,44
250k a 1M,Intermedio,Sin Experiencia,Remoto,Por debajo del mercado,10,16587,7,71,1,48
250k a 1M,Básico,Sin Experiencia,Presencial,Por debajo del mercado,15,436994,19,223,0,51
Menos de 250k,Básico,Sin Experiencia,Híbrido,Por encima del mercado,23,72692,7,396,1,75
Menos de 250k,Experto,Específica,Presencial,Por encima del mercado,36,440320,7,104,1,9
250k a 1M,Intermedio,General,Remoto,Por debajo del mercado,13,483479,11,324,0,37
250k a 1M,Intermedio,Sin Experiencia,Remoto,Por encima del mercado,23,413454,8,201,0,91
Más de 1M,Básico,Específica,Presencial,Por encima del mercado,25,210706,20,96,0,28
Más de 1M,Experto,Sin Experiencia,Remoto,Por encima del mercado,9,190243,18,387,0,68
Más de 1M,Básico,Específica,Presencial,Por encima del mercado,2,128918,6,441,1,69
Más de 1M,Experto,Específica,Presencial,Por debajo del mercado,17,366759,20,564,1,41
Más de 1M,Intermedio,Específica,Remoto,Por encima del mercado,10,333272,16,800,1,79
250k a 1M,Experto,Sin Experiencia,Presencial,Dentro del mercado,5,480604,16,329,0,87
Más de 1M,Intermedio,General,Híbrido,Por debajo del mercado,4,33450,12,854,1,56
250k a 1M,Básico,General,Presencial,Por encima del mercado,13,407945,2,960,1,89
Más de 1M,Intermedio,Específica,Presencial,Por debajo del mercado,34,259998,17,306,0,74
Menos de 250k,Intermedio,General,Remoto,Dentro del mercado,5,445055,8,105,0,27
Menos de 250k,Experto,General,Híbrido,Por encima del mercado,27,297284,19,331,1,89
Más de 1M,Experto,Específica,Híbrido,Por debajo del mercado,22,268967,16,213,0,20
Menos de 250k,Experto,Sin Experiencia,Remoto,Dentro del mercado,17,20969,19,607,1,1
Menos de 250k,Experto,Específica,Presencial,Por debajo del mercado,35,250918,20,553,1,15
Menos de 250k,Intermedio,Sin Experiencia,Híbrido,Por debajo del mercado,3,116864,18,497,0,8
250k a 1M,Básico,General,Presencial,Dentro del mercado,31,59404,2,862,0,54
Menos de 250k,Intermedio,Sin Experiencia,Híbrido,Por debajo del mercado,32,223866,16,610,1,84
250k a 1M,Intermedio,Sin Experiencia,Remoto,Dentro del mercado,33,60640,10,486,0,28
250k a 1M,Intermedio,General,Híbrido,Por debajo del mercado,25,487076,10,308,1,73
250k a 1M,Intermedio,General,Híbrido,Dentro del mercado,22,488440,11,570,1,28
Más de 1M,Básico,General,Híbrido,Por encima del mercado,15,34493,17,936,1,96
Más de 1M,Intermedio,General,Presencial,Por debajo del mercado,16,73455,11,486,1,59
Más de 1M,Experto,General,Híbrido,Por debajo del mercado,22,493666,18,723,1,26
250k a 1M,Básico,Sin Experiencia,Presencial,Por encima del mercado,17,252736,3,242,0,17
Menos de 250k,Experto,Específica,Híbrido,Por encima del mercado,9,12384,20,352,1,96
Más de 1M,Experto,General,Híbrido,Por debajo del mercado,14,108056,14,902,1,25
250k a 1M,Básico,General,Presencial,Por debajo del mercado,19,376653,14,916,1,69
250k a 1M,Experto,Específica,Híbrido,Por debajo del mercado,8,244826,4,334,0,70
Más de 1M,Básico,Específica,Híbrido,Por debajo del mercado,13,300202,18,871,1,95
Menos de 250k,Básico,General,Presencial,Por encima del mercado,32,132980,8,871,0,17
Más de 1M,Básico,General,Presencial,Por encima del mercado,31,376319,11,992,1,90
Más de 1M,Básico,Específica,Híbrido,Por debajo del mercado,14,179267,2,589,1,14
Menos de 250k,Intermedio,Sin Experiencia,Híbrido,Por debajo del mercado,34,409599,13,672,1,22
250k a 1M,Básico,General,Remoto,Dentro del mercado,32,108855,5,703,0,9
Más de 1M,Básico,Específica,Híbrido,Dentro del mercado,23,244470,12,872,1,68
Menos de 250k,Experto,General,Remoto,Por debajo del mercado,11,341876,18,679,1,44
Más de 1M,Experto,General,Presencial,Dentro del mercado,24,475186,4,857,1,56
Más de 1M,Intermedio,General,Remoto,Por encima del mercado,28,432364,16,999,0,28
Menos de 250k,Intermedio,Sin Experiencia,Híbrido,Por debajo del mercado,23,44901,4,689,1,66
Más de 1M,Experto,Específica,Remoto,Dentro del mercado,26,468572,19,438,0,29
Menos de 250k,Experto,General,Remoto,Por debajo del mercado,1,406863,20,170,0,87
Más de 1M,Intermedio,Sin Experiencia,Remoto,Por debajo del mercado,8,456708,20,546,0,13
Más de 1M,Intermedio,Específica,Híbrido,Por encima del mercado,22,74310,19,31,0,3
Más de 1M,Básico,Sin Experiencia,Presencial,Por debajo del mercado,35,275964,16,643,1,24
Menos de 250k,Básico,Específica,Remoto,Por encima del mercado,14,12656,6,460,0,53
Más de 1M,Básico,General,Híbrido,Dentro del mercado,30,404530,20,527,0,29
250k a 1M,Intermedio,General,Híbrido,Por encima del mercado,14,414005,2,507,1,8
250k a 1M,Intermedio,General,Remoto,Por encima del mercado,5,19565,15,405,0,86
250k a 1M,Intermedio,Específica,Híbrido,Dentro del mercado,19,314912,20,426,1,19
250k a 1M,Básico,Sin Experiencia,Híbrido,Dentro del mercado,32,81780,20,489,0,32
Menos de 250k,Básico,General,Presencial,Por debajo del mercado,8,9076,10,194,1,100
Menos de 250k,Intermedio,Sin Experiencia,Remoto,Por debajo del mercado,8,238348,5,423,1,33
250k a 1M,Experto,General,Remoto,Dentro del mercado,5,255166,20,753,1,88
Más de 1M,Básico,Específica,Híbrido,Por encima del mercado,12,311940,10,443,0,92
Menos de 250k,Básico,General,Presencial,Dentro del mercado,35,80720,9,692,1,39
250k a 1M,Experto,Sin Experiencia,Remoto,Por debajo del mercado,7,181058,3,486,1,78
Más de 1M,Experto,Específica,Híbrido,Por debajo del mercado,30,120295,1,775,1,41
250k a 1M,Intermedio,General,Híbrido,Por debajo del mercado,28,379766,12,966,0,5
Menos de 250k,Experto,General,Presencial,Por encima del mercado,9,410745,11,991,1,28
Más de 1M,Experto,Específica,Remoto,Dentro del mercado,26,196895,13,460,0,18
250k a 1M,Básico,Sin Experiencia,Presencial,Por debajo del mercado,28,230229,1,133,1,98
Menos de 250k,Experto,Específica,Presencial,Por debajo del mercado,31,181931,19,736,1,65
250k a 1M,Experto,Específica,Remoto,Por debajo del mercado,10,18583,3,286,1,51
250k a 1M,Básico,Específica,Híbrido,Por encima del mercado,16,395280,5,391,1,74
250k a 1M,Experto,General,Presencial,Por debajo del mercado,13,444227,2,706,1,100
250k a 1M,Básico,General,Híbrido,Dentro del mercado,14,494000,20,207,1,84
Menos de 250k,Intermedio,General,Presencial,Dentro del mercado,28,301478,6,112,0,67
250k a 1M,Intermedio,Específica,Híbrido,Dentro del mercado,15,432981,8,925,1,89
250k a 1M,Experto,Sin Experiencia,Presencial,Dentro del mercado,12,69931,8,410,1,6
Menos de 250k,Básico,Sin Experiencia,Remoto,Por encima del mercado,1,21343,7,477,0,80
Más de 1M,Experto,Específica,Remoto,Por debajo del mercado,14,109730,4,780,1,45
Menos de 250k,Experto,Específica,Híbrido,Por encima del mercado,35,215262,2,251,1,66
250k a 1M,Intermedio,Específica,Remoto,Por encima del mercado,18,421915,20,878,0,5
250k a 1M,Básico,Específica,Presencial,Por encima del mercado,31,287851,11,678,0,26
Menos de 250k,Básico,Sin Experiencia,Remoto,Por debajo del mercado,32,417855,13,885,1,45
250k a 1M,Experto,Específica,Híbrido,Por encima del mercado,14,287550,6,945,0,21
Menos de 250k,Intermedio,Sin Experiencia,Presencial,Por debajo del mercado,29,7357,11,912,0,51
250k a 1M,Intermedio,Específica,Híbrido,Por debajo del mercado,1,297647,18,223,0,27
Más de 1M,Básico,Sin Experiencia,Híbrido,Por debajo del mercado,25,269242,3,15,1,95
250k a 1M,Experto,Específica,Remoto,Por debajo del mercado,9,99774,6,815,1,78
Más de 1M,Experto,General,Híbrido,Por encima del mercado,21,461153,6,994,0,34
Menos de 250k,Intermedio,General,Remoto,Por debajo del mercado,17,172790,12,563,0,78
Más de 1M,Intermedio,General,Híbrido,Por encima del mercado,9,326449,18,403,1,53
Menos de 250k,Intermedio,General,Remoto,Por debajo del mercado,36,188209,20,893,1,50
Más de 1M,Básico,Específica,Híbrido,Dentro del mercado,8,58134,16,124,1,67
Más de 1M,Intermedio,General,Remoto,Por encima del mercado,23,203581,17,24,0,72
250k a 1M,Básico,Sin Experiencia,Presencial,Por encima del mercado,3,65365,20,79,1,11
Más de 1M,Básico,Específica,Presencial,Dentro del mercado,32,269360,19,193,0,24
250k a 1M,Básico,General,Presencial,Dentro del mercado,17,117268,8,72,1,13
250k a 1M,Experto,Específica,Presencial,Por encima del mercado,7,96500,8,645,1,37
250k a 1M,Experto,General,Híbrido,Por encima del mercado,31,115555,8,337,0,95
Menos de 250k,Experto,General,Presencial,Dentro del mercado,32,28136,5,770,0,41
Más de 1M,Intermedio,General,Remoto,Por encima del mercado,4,33876,1,902,0,63
250k a 1M,Básico,Específica,Presencial,Por encima del mercado,4,428366,19,700,0,0
Más de 1M,Intermedio,General,Remoto,Por debajo del mercado,16,143327,12,41,0,100
Más de 1M,Intermedio,General,Remoto,Por encima del mercado,23,29220,4,906,1,35
Más de 1M,Básico,Sin Experiencia,Híbrido,Por debajo del mercado,15,15335,16,684,0,80
Más de 1M,Intermedio,Sin Experiencia,Presencial,Dentro del mercado,11,350341,2,281,0,32
250k a 1M,Básico,General,Híbrido,Por debajo del mercado,23,449857,19,564,0,20
Menos de 250k,Experto,Sin Experiencia,Remoto,Dentro del mercado,10,104466,9,690,1,74
Más de 1M,Intermedio,General,Remoto,Por encima del mercado,31,495551,15,981,0,6
Menos de 250k,Experto,Específica,Híbrido,Por debajo del mercado,19,71076,13,789,1,66
250k a 1M,Básico,General,Híbrido,Dentro del mercado,1,96648,10,913,0,86
250k a 1M,Intermedio,Específica,Remoto,Dentro del mercado,35,6858,15,855,0,94
Más de 1M,Básico,General,Presencial,Dentro del mercado,18,452366,9,401,1,85
Más de 1M,Intermedio,General,Presencial,Por encima del mercado,9,225033,18,551,1,80
250k a 1M,Experto,Específica,Presencial,Por debajo del mercado,28,72807,14,574,1,89
250k a 1M,Intermedio,Específica,Híbrido,Por debajo del mercado,6,107010,5,359,0,70
Menos de 250k,Intermedio,Sin Experiencia,Híbrido,Dentro del mercado,35,383778,17,693,1,91
Menos de 250k,Básico,Sin Experiencia,Presencial,Dentro del mercado,26,262709,13,908,0,41
Menos de 250k,Básico,General,Remoto,Por encima del mercado,15,73684,20,575,1,79
250k a 1M,Experto,General,Híbrido,Dentro del mercado,16,483735,18,396,0,64
Más de 1M,Experto,Sin Experiencia,Híbrido,Dentro del mercado,13,150956,15,515,1,71
